Address,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,YearBuilt,BuiltCode,YearAlter1,YearAlter2
240 WEST 40 STREET,12,0,0,118,98.75,118,99,1923,,0,0
49 WARREN STREET,6,10,12,50.37,80.12,50,69,1900,,0,0
216 EAST 47 STREET,32,47,49,45,100,0,0,1985,,0,0
93 AVENUE D,6,23,24,36.5,77,36,74,1900,E,2000,0
46 WHITE STREET,5,5,6,37.67,101.25,37,94,1900,,0,2006
515 EAST 118 STREET,3,8,8,16.67,100.92,17,45,1900,E,1984,0
411 EAST 51 STREET,4,5,5,18.75,100.42,18.75,59,1930,E,1987,0
225 EAST 57 STREET,20,260,264,180,200.83,0,0,1964,,0,0
56 CHARLES STREET,3,2,2,20,95,20,57,1915,E,1973,2008
236 EAST 61 STREET,3,2,2,20,100.42,20,50,1910,,0,0
49 WEST 33 STREET,4,0,3,44.5,98.75,45,99,1912,,0,0
70 WEST 126 STREET,3,0,1,12.5,99.92,13,54,1940,E,0,0
766 MADISON AVENUE,5,0,6,20,80,20,79,1923,,0,0
165 SPRING STREET,6,14,16,69,100,47,100,1910,E,0,0
122 EAST 10 STREET,5,3,3,18,56,18,36,1900,E,0,0
517 WEST 169 STREET,6,31,31,50,81.58,50,66,1912,,1988,0
665 WEST END AVENUE,5,10,10,37.58,39.75,38,35,1900,,1987,0
32 VESTRY STREET,7,0,1,31.08,175.5,18,10,1920,,0,0
16 EAST 73 STREET,5,10,10,22.58,102.17,23,100,1910,E,1945,0
311 WEST 85 STREET,5,5,5,16,102.17,16,67,1920,E,1971,0
YORK AVENUE,0,0,0,200.83,80,0,0,0,,0,0
60 UNIVERSITY PLACE,12,60,62,55,100,53,93,1926,,1986,0
18 EAST 14 STREET,6,26,28,25,148.5,25,148,1930,,1999,0
111 EAST 60 STREET,6,7,7,20,100.42,18,56,1910,E,2012,0
180 MULBERRY STREET,5,12,14,25.5,98.67,25,53,1910,E,0,0
2 WEST 123 STREET,3,2,2,20,100.92,20,50,1909,,2001,0
2040 8 AVENUE,11,49,51,160.34,171.83,160.32,125,2016,,0,0
511 WEST 20 STREET,5,3,7,25,92,25,92,1920,E,0,0
40 WEST 96 STREET,5,10,10,17,100.67,17,72,1910,E,1983,0
417 EAST 89 STREET,6,66,66,150,100.71,61,86,1930,E,1987,0
142 WATTS STREET,5,3,4,20,56.25,20,56,1910,E,0,0
1261 ST NICHOLAS AVENUE,5,36,41,100,100,100,98,1925,E,1987,0
HUDSON STREET,0,0,0,0,0,0,0,0,,0,0
22 ELDRIDGE STREET,4,2,5,25.08,88.5,25,85,1900,,1989,0
307 EAST 70 STREET,5,9,9,25,100.42,25,60,1930,E,0,0
304 WEST 148 STREET,5,10,10,25,99.92,25,63,1910,,2004,0
41 7 AVENUE,20,135,139,88.83,100,88,87,1961,,1986,0
72 EAST 119 STREET,4,3,3,20,100.92,20,50,2001,,0,0
558 WEST 189 STREET,5,21,21,50,100,50,85,1920,E,1987,0
304 WEST 90 STREET,4,9,9,20,100.67,20,67,1900,E,1984,0
128 WEST 80 STREET,4,0,1,20,102.17,20,74,1900,,1975,0
7 WEST 19 STREET,4,2,4,25,92,25,86,1900,,1985,2000
299 GRAND STREET,3,0,2,18.08,75,18,66,1910,E,0,0
619 WEST 143 STREET,5,20,20,50,99.92,50,85,1926,,1988,0
709 PARK AVENUE,5,2,2,20,89,20,70,1920,E,1986,2008
209 WEST 21 STREET,5,20,20,25,98.75,25,88,1920,,1988,0
153 EAST 72 STREET,16,39,40,90,102.17,90,78,1929,,1980,0
118 DYCKMAN STREET,2,0,2,16,100,16,59,1922,,1989,0
145 WEST 45 STREET,12,0,85,68.58,100.42,69,98,1911,,1989,0
318 WEST 102 STREET,5,3,3,20,100.92,20,73,1910,E,1988,0
4624 BROADWAY,2,0,1,50,150,42,105,1950,,0,0
126 WEST 109 STREET,5,30,30,75,100.92,75,89,1900,,1995,0
53 HESTER STREET,11,10,10,22.67,100,0,0,2013,,0,0
348 WEST 122 STREET,3,8,8,16,100.92,16,57,1901,,1986,0
556 WEST 161 STREET,3,3,3,16,99.92,16,50,1901,E,0,0
35 EAST 7 STREET,4,5,6,25,75,25,66,1900,E,1986,0
310 WEST 88 STREET,4,8,8,20,100.67,20,70,1900,E,2005,2005
49 WEST 55 STREET,5,8,10,37.5,100.42,18,82,1920,E,0,0
122 WEST 89 STREET,5,0,0,250,100.67,212,68.5,1900,E,0,0
2340 8 AVENUE,4,0,2,25,100,25,100,1910,E,1983,0
196 ELIZABETH STREET,6,20,21,25.17,97.17,25,83,1900,E,0,0
208 LENOX AVENUE,4,3,3,19.92,80,19.92,45,1910,,0,0
37 GRAMERCY PARK EAST,5,6,6,19.67,81,20,62,1927,,1987,2008
3 WEST 102 STREET,5,10,10,27,100.92,27,80,1920,,1986,0
338 EAST 117 STREET,0,0,0,25,100.92,0,0,0,,0,0
627 WEST 113 STREET,5,10,10,20,100,20,72,1910,E,1986,0
2300 5 AVENUE,16,771,771,424.67,440.33,238,78,1959,,0,0
203 WEST 94 STREET,6,24,24,52,100.83,52,84,1925,,1985,0
510 HUDSON STREET,3,2,3,22.17,67.75,22.17,40,1910,E,0,0
320 WEST END AVENUE,15,33,34,90,75,90,65,1924,,1988,0
144 WEST 111 STREET,5,10,10,33.5,100.92,33,86,1900,E,0,0
236 EAST 72 STREET,3,1,1,16.67,102.17,16.67,45,1901,E,0,0
761 AVENUE OF THE AMER,4,0,4,19.5,60,20,60,1935,E,1987,0
224 WEST 135 STREET,3,6,7,18.42,99.92,18,59,1910,E,0,0
212 EAST 105 STREET,6,24,24,33,100.92,32,87,1925,E,1980,0
224 WEST 149 STREET,6,18,18,40,99.92,40,86.92,1910,,2000,0
MARGINAL STREET,0,0,0,382.5,428.92,0,0,0,,0,0
604 WEST 114 STREET,4,0,1,15,100.92,15,75,1920,E,2006,0
173 AVENUE B,5,9,10,25,93,25,93,1900,E,1991,0
89 WALKER STREET,4,0,7,23.83,86.17,24,86,1910,E,0,0
2185 AMSTERDAM AVENUE,6,22,24,37.5,100,38,87,1906,,1989,0
41 WEST 69 STREET,4,10,10,20,100.42,20,72,1910,E,0,0
2115 FREDRICK DOUGLASS BL,5,9,10,25.17,100,25.17,88,1900,E,1992,0
261 WEST 137 STREET,5,3,3,18,99.92,18,70,1910,,1985,2009
303 WEST 153 STREET,1,0,1,50,99.92,39,88,1956,,0,0
1 BOND STREET,6,19,20,76,114.5,0,0,1900,,0,0
122 WEST 137 STREET,5,10,10,25,99.92,25,82,1910,,0,0
57 ORCHARD STREET,2,0,2,24.58,88.08,25,88,1900,E,0,0
57 WEST 10 STREET,8,22,23,21.92,94.75,22,95,1915,,1984,0
72 EAST 7 STREET,6,22,24,25,90.83,25,76,1910,E,0,0
2001 ADAM C POWELL BLVD,3,2,4,18,77,18,77,1899,E,2012,0
50 JANE STREET,2,3,3,22.5,80,22.5,40,1899,E,0,0
145 DUANE STREET,5,4,5,25,75,25,75,1930,E,1983,0
519 EAST 82 STREET,5,15,15,26.67,102.17,27,68,1910,E,1986,0
212 EAST 13 STREET,6,23,23,31,103.25,31,90,1930,E,1984,0
380 7 AVENUE,0,0,0,34.13,121.5,0,0,0,,0,0
CANAL STREET,0,0,0,23.17,71.08,0,0,0,,0,0
217 EAST 10 STREET,5,20,21,25,94.75,25,84,1900,E,1988,0
1786 AMSTERDAM AVENUE,5,9,10,27,100,27,86,1910,,1994,0
22 KING STREET,6,24,24,25.92,100.25,26,87,1920,E,1988,0
140 9 AVENUE,3,2,3,16.58,60,16.58,45,1920,,0,0
221 EAST 21 STREET,7,29,29,34,98.75,29,73,1985,,0,0
55 EAST 34 STREET,6,0,11,75,98.75,75,99,1951,,1989,0
309 EAST 111 STREET,4,8,9,27.08,100.92,27,55,1910,E,1987,0
109 WEST 94 STREET,6,50,50,103.5,100.67,96,81,1936,,1983,0
351 WEST 125 STREET,6,38,44,100,99.92,86,96,1926,,1988,0
213 EAST 43 STREET,10,0,1,50,200.83,50,100,1964,,2015,0
1392 3 AVENUE,4,6,7,21,69,21,67,1910,,0,0
44 CONVENT AVENUE,7,0,1,54.25,125.83,0,0,2008,,0,0
27 WEST 23 STREET,6,0,7,99.5,197.5,99.5,198,1915,,0,0
49 WEST 90 STREET,4,8,8,16.67,100.67,17,64,1900,E,1988,0
223 EAST 14 STREET,5,18,20,28.5,103.25,29,90,1900,E,0,0
BROADWAY,0,0,0,210,100.45,0,0,0,,0,0
183 CHRISTOPHER STREET,2,1,2,23.58,63.83,23.58,63.84,1900,E,2014,0
126 WEST 95 STREET,3,1,1,15,100.67,15,56.87,1901,E,2012,2012
736 WEST 181 STREET,6,68,75,100,149.92,100,136,1920,,0,0
147 EAST 19 STREET,4,6,6,44.17,46,24,46,1870,E,1975,2006
612 WEST 182 STREET,5,21,21,50,70,50,57,1910,E,1986,0
405 WEST 148 STREET,3,2,2,20,99.92,20,55,1899,E,1993,2006
125 EAST 83 STREET,5,10,10,22.83,102.17,23,86,1930,E,0,0
202 WEST 10 STREET,3,3,3,18.83,95,18.83,40,1940,E,0,0
2 KING STREET,7,40,41,92,110,82,91,1963,,1986,0
90 WOOSTER STREET,6,0,6,51,54.17,51,54,1920,E,1982,0
192 BLEECKER STREET,6,22,23,25,98,25,84,1900,E,0,0
2461 ADAM C POWELL BLVD,5,17,20,42.92,100,42.92,90,1920,,1991,0
1132 MADISON AVENUE,5,4,6,20,70,20,66,1920,E,0,0
103 GREENWICH AVENUE,6,16,18,40,62.25,37,56,1900,E,0,0
1598 2 AVENUE,5,12,13,28,75,27,69,1920,E,1996,0
1630 2 AVENUE,5,16,17,24.83,78,25,58,1915,E,1984,0
11 ELDRIDGE STREET,6,18,20,24.75,100,25,77,1900,E,0,0
105 WEST 72 STREET,12.5,34,37,0.13,0,59,86,1913,,0,0
567 WEST 184 STREET,3,5,5,25,99.92,25,70,1920,E,1988,0
1 WADSWORTH AVENUE,6,54,56,100,125,97,110,1930,E,1988,2007
433 EAST 117 STREET,0,0,0,25,100.92,0,0,0,,0,0
303 WEST 107 STREET,5,9,9,17,100,17,81,1926,E,1985,0
20 EAST 2 STREET,1,0,1,36.33,69.33,34,65,1900,,2007,0
306 WEST 11 STREET,3,2,3,25,95,25,42,1899,E,0,0
234 EAST 77 STREET,5,20,20,25,102.17,25,78,1910,,0,0
60 EAST 93 STREET,5,0,1,57,100.71,57,80,1930,E,2005,0
33 WEST 14 STREET,2,0,2,25,103.25,25,99,1947,,1948,0
80 GOLD STREET,6,1641,1653,610.25,237,210,45,1971,,0,0
EAST 40 STREET,0,0,0,422.1,197.5,0,0,0,,0,0
2159 ADAM C POWELL BLVD,0,0,0,30.92,75,0,0,0,,0,0
12 EAST 10 STREET,4,8,8,25,92.25,25,56,1910,E,0,0
112 EAST 73 STREET,5,0,1,33.5,102.17,33.5,74,1915,E,2013,0
2094 AMSTERDAM AVENUE,5,25,27,56,100,28,84,1900,E,1961,0
608 WEST 40 STREET,1,0,1,675,197.5,675,197.5,2009,,0,0
1327 3 AVENUE,5,14,15,22.17,67,22,67,1910,E,1985,2011
336 WEST 15 STREET,0,0,0,18.75,81.5,0,0,0,,0,0
33 WEST 55 STREET,11,0,3,55,100.42,55,100,1925,,1987,2005
70 WEST 82 STREET,4,10,10,18,102.17,18,67,1900,E,1978,0
461 WEST 43 STREET,4,6,6,25,100.42,25,47,1901,E,1977,0
416 WEST 151 STREET,3,3,3,25,99.92,20,25,1910,E,0,0
336 WEST END AVENUE,20,103,105,79.33,100,79,90,1931,,1986,0
431 EAST 86 STREET,9,60,62,61.83,119,58,87,1910,,1971,0
1801 ADAM C POWELL BLVD,6,25,25,70.92,100,70,90,1904,E,1983,2006
73 MONROE STREET,5,16,16,25,100,25,86,1910,E,1961,0
28 WEST 70 STREET,4,4,4,18.5,100.42,19,72,1920,E,0,0
348 WEST 36 STREET,12,18,20,25,98.75,25,98,1936,,1984,0
630 WEST 172 STREET,5,25,25,65.33,95,65,82,1920,E,1988,0
1368 LEXINGTON AVENUE,2,0,1,16.58,88.25,16.58,77,1915,E,0,0
107 EAST 101 STREET,3,1,1,15.5,75,15,48,1890,E,0,0
207 EAST 73 STREET,9,0,1,52.5,204.33,50.75,204,1973,,2011,0
437 WASHINGTON STREET,3,1,2,25,74.92,25,75,1900,E,0,0
880 3 AVENUE,18,0,20,100,95,100,92,1964,,1989,0
327 WEST 30 STREET,7,62,62,89,98.75,89,68,1963,,1988,2000
58 EAST 116 STREET,1,0,1,20,100.92,20,75,1957,E,1983,0
360 WEST 11 STREET,12,5,7,66,100.25,66,98,2006,,0,0
115 EAST 89 STREET,9,45,45,83.67,100.67,84,82,1924,,1987,0
338 EAST 20 STREET,4,8,8,20,92,20,48,1910,E,1987,0
310 2 AVENUE,5,8,9,20,60,19,50,1910,E,0,0
145 EAST 29 STREET,6,37,39,40,98.75,40,66,1965,,0,0
193 HENRY STREET,4,0,1,25,87.5,25,71,1900,E,0,0
120 EAST 70 STREET,6,1,1,20.08,100.42,20.08,52.33,1920,E,0,0
31 VERMILYEA AVENUE,3,0,1,50,150,42,71,1920,E,1992,0
470 LENOX AVENUE,16,286,286,130,258,232,78,1960,,0,0
205 8 AVENUE,5,10,11,25,100,25,86,1900,E,1986,0
1396 MADISON AVENUE,6,28,32,50.92,81.42,50,73,1910,E,0,0
149 EAST 60 STREET,5,6,7,20,100.42,20,93,1910,,0,0
286 BROOME STREET,5,8,9,21.92,102.08,22,69,1900,E,0,0
150 WEST 132 STREET,3,3,3,14.67,99.92,14.67,50,1910,,1992,0
40 WATERSIDE PLAZA,34,370,375,546.06,179.8,135,125,1973,,0,0
2798 8 AVENUE,6,27,28,37.5,100,38,84,1920,,0,0
42 AVENUE B,5,9,11,24,80,24,62,1900,E,2005,0
47 1/2 EAST 1 STREET,5,10,10,20.58,69.67,21,50,1900,E,1986,2009
40 WEST 70 STREET,4,10,10,22,100.42,22,76,1920,E,0,0
447A EAST 87 STREET,6,1,2,16.6,25,0,0,1998,,0,0
1575 3 AVENUE,5,14,15,25,86.08,25,86,1910,E,1985,0
324 EAST 14 STREET,4,15,15,22.5,103.25,23,80,1930,E,1987,0
25 NORTH MOORE STREET,17,37,40,0.18,75,0,0,1924,,2003,0
313 WEST 92 STREET,5,8,8,25,55.25,25,50,1906,,1983,0
245 WEST 132 STREET,3,3,3,16.5,99.92,16,48,1910,E,2004,0
138 EAST 95 STREET,3,1,1,18,100.67,18,50,1899,E,2008,0
23 EAST 83 STREET,5,1,1,18.08,102.17,18.08,85,1899,E,0,0
416 EAST 78 STREET,4,16,16,26.25,102.17,26,56,1910,,1957,0
80 EAST END AVENUE,20,152,154,148,102.17,130,102.17,1958,,0,0
1040 AVENUE OF THE AMER,23,0,32,98.67,100,99,100,1925,,1979,0
61 BROADWAY,33,0,99,105.08,202.17,105,202,1913,,1986,0
274 EAST 7 STREET,6,13,13,30,90.83,30,79,1910,E,0,0
276 WEST 132 STREET,3,2,2,16.67,99.92,19,59,1910,E,1985,0
153 WEST 126 STREET,3,2,2,16.83,99.92,17,58,1910,E,2003,0
5 SYLVAN TERRACE,2,1,1,20.67,34.5,20,25,1899,E,0,0
704 BROADWAY,10,10,11,50,137.65,0,0,1895,,1998,0
512 WEST 162 STREET,5,30,30,80,99.92,40,86,1920,E,0,0
125 WEST 88 STREET,4,5,5,19,100.67,19,71,1900,E,1981,0
833 MADISON AVENUE,5,14,17,32.42,80,32,56,1900,E,0,0
70 WEST 106 STREET,5,14,16,25,100.5,25,70,1900,E,1981,0
108 WEST 83 STREET,5,20,20,19,102.17,19,90,1900,,1971,0
226 WEST 138 STREET,3,3,3,21.08,99.92,21,58,1910,,2003,0
218 EAST 85 STREET,5,20,20,25,102.17,25,96,1910,E,0,0
308 BOWERY,3,2,5,45.25,99.42,45.25,99.42,1910,E,2002,2013
953 ST NICHOLAS AVENUE,3,2,2,17.25,62,16.67,41,1901,E,0,0
1430 ST NICHOLAS AVENUE,5,0,4,100,50,88,49,1910,E,1988,0
5 WEST 16 STREET,4,12,17,33.33,92,33,86,1925,,1987,0
153 WEST 83 STREET,5,0,1,20,102.17,20,85,1987,,0,0
608 WEST 147 STREET,3,2,2,15,99.92,15,52,1901,E,0,0
14 BOWERY,4,0,4,25.5,101.17,26,85,1915,E,0,0
739 WEST 186 STREET,6,51,51,89,112,92,98,1940,,0,0
65 EAST 4 STREET,6,14,16,25,100,25,88,1920,E,1997,0
2 PRINCE STREET,6,10,14,27.67,100.25,0,0,1900,,1985,0
134 WEST 117 STREET,3,3,3,21,100.92,21,43,1999,,0,0
539 EAST 6 STREET,6,22,22,46,90.83,45,90,1900,E,2003,0
411 WEST 43 STREET,3,7,7,16.75,100.42,17,42,1920,E,1987,0
2473 ADAM C POWELL BLVD,5,13,15,38,100,38,88,1920,,1989,0
98 FRANKLIN STREET,0,0,0,32.83,218.5,0,0,0,,0,0
214 EAST 19 STREET,9,0,18,30,92,30,92,2004,,0,0
1352 1 AVENUE,4,6,7,25.5,113,25.5,64,1920,E,0,0
233 EAST 54 STREET,4,13,13,25,100.42,25,60,1900,E,1987,0
8 EAST 79 STREET,5,0,1,35,102.17,35,85,1900,E,0,0
120 EAST 32 STREET,4,0,4,20.42,98.75,20.42,98,1915,,2009,0
1201 2 AVENUE,34,532,547,200.83,230,201,225,1963,,1982,0
205 EAST 118 STREET,6,56,59,75,100.92,75,88,1900,E,1989,0
275 FT WASHINGTON AVENUE,6,37,37,65,112,65,98,1937,,1988,0
20 BOWERY,4,21,26,47.58,97.17,47,97,1910,E,1957,0
212 EAST 9 STREET,3,0,3,18,75,18,72,1900,E,1980,1999
350 WEST 145 STREET,3,6,8,16.17,106.83,16.17,45,1910,,0,0
526 EAST 80 STREET,7,3,3,50,102.17,50,70,2002,,0,0
467 WEST 22 STREET,4,6,6,33.33,98.75,33.33,54,1900,E,1979,1997
205 EAST 69 STREET,11,72,76,112,100.42,112,81,1929,,1986,0
211 EAST BROADWAY,5,7,9,25,87.5,25,76,1910,E,1968,0
825 COLUMBUS AVENUE,20,896,904,927,350,160,136,1940,E,1990,0
50 WEST 33 STREET,2,0,1,39.5,98.75,40,99,1927,E,0,0
15 WADSWORTH AVENUE,5,25,26,50,100,50,88,1910,E,2007,0
320 WEST 108 STREET,5,13,13,22,100.92,22,80,1915,,1974,0
23 WEST 32 STREET,5,0,4,23.75,98.75,24,95,1905,E,1995,0
498 BROOME STREET,5,2,5,20,75,20,75,1900,E,1988,2013
47 9 AVENUE,4,0,10,108.25,125,106,122,1923,,2006,2006
61 WEST 23 STREET,7,0,8,75,98.75,75,99,1920,E,0,0
365 BROOME STREET,6,49,56,73,108.75,73,109,1900,E,2014,0
322 EAST 50 STREET,3,1,1,18.5,100.42,18.5,47,1899,E,0,0
304 EAST 73 STREET,5,40,40,50,102.17,50,72,1910,,1987,0
2373 ADAM C POWELL BLVD,7,17,18,50,100,50,68,2008,,0,0
19 WEST 103 STREET,5,0,40,45.42,80,45,75,1920,E,1982,0
224 LENOX AVENUE,4,6,6,19,100,19,70,1909,,1986,0
569 HUDSON STREET,4,16,17,24.83,78.25,25,78,1900,E,0,0
2820 BROADWAY,5,12,14,35,86,34,86,1925,,0,0
955 AMSTERDAM AVENUE,5,13,14,25,100,25,93,1925,E,1984,0
15 ORCHARD STREET,4,3,4,20,50,20,50,1900,E,0,0
511 WEST 151 STREET,5,31,31,75,100,75,84,1900,E,0,0
711 AVENUE OF THE AMER,5,0,5,26.75,60,27,60,1910,E,0,0
235 MULBERRY STREET,5,8,9,25.25,99.17,25,50,1910,E,1988,2006
1286 1 AVENUE,6,88,92,75.25,113,75,108,1900,E,2013,0
751 PARK AVENUE,12,45,51,102.17,130,98,106,1914,,1986,2001
124 WEST 36 STREET,7,0,22,41.67,98.75,42,99,1922,,0,0
226 WEST 122 STREET,5,15,15,35.33,100.92,35.33,88,1910,,2000,0
704 WEST END AVENUE,5,10,10,20,100,20,83,1920,E,1967,0
20 NORTH MOORE STREET,9,19,20,71.67,88,72,82,1921,,1988,0
210 EAST 62 STREET,4,2,2,18.75,100.42,18.75,48,1905,,2012,0
40 GREAT JONES STREET,7,5,6,22.58,90,23,90,1900,E,1974,2008
56 MADISON AVENUE,12,0,67,98.75,90,198,90,1910,E,1979,2011
372 WEST 46 STREET,4,5,7,18.5,60,19,46,1920,E,1985,0
323 GREENWICH STREET,5,4,5,25.58,80,26,74,1920,E,2008,2008
65 EAST 2 STREET,3,3,3,25,57.75,25,57.75,1900,E,2013,0
294 WEST 11 STREET,3,3,3,25.58,96.08,26,45,1901,E,1987,0
2825 BROADWAY,1,0,1,85,100,84,98,1935,,2005,1998
151 WEST 123 STREET,6,18,18,50,100.92,50,84,1910,E,1988,2005
333 WEST 85 STREET,4,5,5,20,102.17,20,58,1920,,0,0
465 GREENWICH STREET,6,38,41,175.75,100.08,0,0,1910,,0,0
160 WEST 92 STREET,3,2,2,17.5,100.67,17.5,52,1899,E,0,0
44 EAST 81 STREET,5,2,2,19,102.17,19,60,1901,E,0,0
405 MAIN STREET,16,242,243,167,175,162,91,2007,,0,0
160 EAST 110 STREET,1,0,2,150,100.92,125,100,1948,E,0,0
39 DIVISION STREET,5,2,6,25.25,56,25,56,1900,E,2003,0
245 WEST 24 STREET,3,4,4,20,88,20,49,1920,E,1978,0
124 EAST 37 STREET,5,4,4,19,49.42,19,49,1910,E,1967,0
38 EAST BROADWAY,5,16,18,25,69.83,25,58,1900,E,1986,0
448 WEST 46 STREET,5,20,20,25,100.42,25,68,1901,E,0,0
161 WEST 88 STREET,3,2,3,16.17,100.67,16.17,50,1901,E,0,0
24 SPRING STREET,7,7,8,23.58,91.42,24,81,1900,E,2003,0
219 GRAND STREET,5,7,10,40.08,55,40,54,1900,E,1989,2009
700 8 AVENUE,30,0,1332,200.83,99.5,100,200,1961,,0,0
1 EAST 42 STREET,15,0,16,40,135.38,40,135.38,1927,,2005,0
433 EAST 114 STREET,4,8,8,25,100.92,25,64,1910,E,1987,0
55 ST NICHOLAS AVENUE,5,9,10,55.15,91.1,55,91,1900,E,0,0
8 WEST 37 STREET,10,0,15,40.92,98.75,41,96,1924,,0,0
237 ELIZABETH STREET,5,7,8,20.25,90.25,20,49,1910,E,0,0
359 WEST 121 STREET,3,6,6,16,100.92,16,59,1901,,0,0
138 EAST 34 STREET,5,6,9,20,98.75,20,96,1910,E,0,0
309 EAST 76 STREET,5,20,20,28,102.17,28,88,1910,,1988,0
307 WEST 106 STREET,5,11,11,22,100.92,22,74,1920,E,0,0
311 EAST 58 STREET,2,0,0,25,100.42,21,31,1901,E,2000,0
257 WEST 131 STREET,3,2,2,17,99.92,17,50,1899,E,0,0
19 FT CHARLES PLACE,2,1,1,25,80,20,45,1920,E,0,0
465 COLUMBUS AVENUE,11,20,21,25.17,100,25,67,1988,,1987,0
218 BENNETT AVENUE,2,0,2,25,155,18,88,1910,E,1975,0
16 JANE STREET,5,28,28,48,68.17,48,54,1900,E,1966,0
611 EAST 6 STREET,0,0,0,25,90.83,0,0,0,,0,0
49 EAST BROADWAY,5,2,13,25,75,25,75,1920,E,2010,0
204 WEST 83 STREET,4,6,6,19.5,96.42,20,74,1900,E,1983,2006
15 EAST 78 STREET,6,0,3,25,102.17,25,102.67,1925,E,0,0
503 WEST 57 STREET,5,4,5,25,50.42,25,41,1910,E,2002,0
153 EAST 103 STREET,4,8,10,24.5,100.92,24,70,1976,,1998,0
111 WEST 17 STREET,5,1,5,20,92,20,70,1920,E,2000,0
528 EAST 83 STREET,5,10,10,25,102.17,25,65,1900,E,1987,0
344 EAST 84 STREET,3,3,3,20,102.17,0,0,1901,,0,0
861 RIVERSIDE DRIVE,3,3,3,26.33,94.25,20,50,1909,,1997,0
272 EAST 4 STREET,0,0,0,24.75,96.17,0,0,0,,0,0
225 EAST 12 STREET,4,9,9,25,103.25,25,58,1925,E,1988,0
521 WEST 175 STREET,5,21,21,50,94,50,76,1907,,0,0
50 HOWARD STREET,5,6,7,48,79,78,79,1915,E,1989,2007
336 BROADWAY,15,147,151,116.5,101.67,116.5,121,1999,,0,0
226 WEST 72 STREET,5,13,15,23,102.17,23,90,1900,E,2007,0
26 WEST 131 STREET,5,20,20,30,99.92,30,84,1900,,0,0
52 WEST 85 STREET,4,1,1,20,102.17,20,70,1900,E,1988,1998
4892 BROADWAY,1,0,2,50,144.25,50,52,1930,E,1985,0
604 WEST 138 STREET,4,8,8,33.33,99.92,33,50,1906,,1987,2007
116 EAST 60 STREET,5,4,10,20,100.42,20,60,1920,E,2015,0
838 5 AVENUE,12,18,18,125,75,50,100,1951,,0,0
137 WEST 67 STREET,5,10,11,25,100.42,19,88,1915,E,1985,0
247 GRAND STREET,3,3,5,25.33,100.33,20,66,1900,E,0,0
320 CENTRAL PARK WEST,19,201,201,100.67,263.17,100.67,253,1931,,0,0
25 POST AVENUE,5,50,50,100,155,100,104,1917,,0,0
123 HENRY STREET,5,20,20,25,100,25,87,1900,E,1984,1987
1114 AVENUE OF THE AMER,47,0,62,100.42,442,100,433,1971,,2001,0
332 WEST 19 STREET,4,5,5,23.42,92,23,54,1910,E,1989,0
122 EAST 38 STREET,5,1,2,14,98.75,14,70,1920,E,0,0
313 WEST 99 STREET,8,33,33,75,100.92,75,86,1920,E,1981,0
150 EAST 38 STREET,3,1,1,20,98.75,20,43,1901,E,0,0
20 COMMERCE STREET,4,20,20,50,64.08,50,64,1900,,1985,2009
159 WEST 131 STREET,3,2,2,17,99.92,17,49,1910,E,2001,0
174 THOMPSON STREET,6,24,24,25,100,25,88,1900,E,1987,0
90 EAST 42 STREET,1,0,1,47,170,45,170,1999,,1999,0
327 EAST 103 STREET,2,0,1,50,100.92,50,94,1900,E,2009,0
5 WEST 131 STREET,6,11,11,25,99.92,25,87,1909,,1992,0
41 EAST 74 STREET,5,1,1,20,102.17,20,55,1901,E,0,0
581 AMSTERDAM AVENUE,18,158,159,201.42,150,164,52,1965,,1988,0
WEST 37 STREET,0,0,0,1,98,0,0,0,,0,0
2012 5 AVENUE,4,4,4,16.67,85,16.67,55,1910,,1998,0
115 BOWERY,5,0,5,28.58,103.33,28.33,43,1988,,0,0
238 EAST 24 STREET,5,18,20,25.58,98.75,26,72,1950,E,0,0
797 LEXINGTON AVENUE,5,7,9,20,80,20,80,1900,E,2013,0
20 SUTTON PLACE SOUTH,20,88,88,100,119,100,115,1953,,1987,0
163 WEST 79 STREET,5,9,9,17,102.17,17,63,1910,,1959,0
242 WEST 36 STREET,13,0,0,128.42,98.75,125.42,98.75,1922,,1962,0
632 10 AVENUE,5,16,17,25.08,75,25,75,1901,E,0,0
566 WEST 159 STREET,7,28,28,50,99.92,50,85,1913,,1987,0
210 WEST 136 STREET,3,11,11,17.5,99.92,18,49,1910,E,0,0
317 EAST 14 STREET,4,12,13,23.25,103.25,23,56,1910,E,1969,0
9 SYLVAN TERRACE,2,2,2,20.67,34.5,20.67,25,1899,E,0,0
140 WEST 10 STREET,5,38,40,51.58,96.17,26,84,1900,E,0,0
1471 AMSTERDAM AVENUE,1,0,1,25,75,25,54,1905,,0,0
304 EAST 62 STREET,6,27,32,60,75.42,60,59,1910,,0,0
72 ELLWOOD STREET,5,30,30,62.5,100,62,84,1918,,0,0
2 EAST 30 STREET,5,8,9,17.5,98.75,18,99,1925,,1987,0
961 AMSTERDAM AVENUE,5,15,19,25.58,100,26,98,1925,E,1996,0
420 EAST 58 STREET,27,75,75,65,100.42,0,0,1986,,0,0
648 BROADWAY,10,1,56,30.42,150,31,150,1900,E,2009,0
504 WEST 126 STREET,5,9,9,25,100,25,88,1901,,1993,0
205 WEST END AVENUE,28,543,549,243.08,428.67,0,0,1962,,0,0
